data year,full lengths,group_id,site_code,Full_ID,Mode
2017,181,1,5,2017_06_24_005_30_01_01,R
2017,182,1,5,2017_06_24_005_30_01_01,R
2017,183,1,5,2017_06_24_005_30_01_01,R
2017,191,1,5,2017_06_24_005_30_01_01,R
2017,191,1,5,2017_06_24_005_30_01_01,R
2017,198,1,5,2017_06_24_005_30_01_01,R
2017,178,2,5,2017_06_24_005_30_01_02,R
2017,182,2,5,2017_06_24_005_30_01_02,R
2017,199,2,5,2017_06_24_005_30_01_02,R
2017,182,3,5,2017_06_24_005_30_01_03,R
2017,185,3,5,2017_06_24_005_30_01_03,R
2017,190,3,5,2017_06_24_005_30_01_03,R
2017,197,3,5,2017_06_24_005_30_01_03,R
2017,182,1,5,2017_06_26_005_31_01_01,R
2017,185,1,5,2017_06_26_005_31_01_01,R
2017,191,1,5,2017_06_26_005_31_01_01,R
2017,198,1,5,2017_06_26_005_31_01_01,R
2017,199,1,5,2017_06_26_005_31_01_01,R
2017,216,1,5,2017_06_26_005_31_01_01,R
2017,180,2,5,2017_06_26_005_31_01_02,R
2017,187,2,5,2017_06_26_005_31_01_02,R
2017,187,2,5,2017_06_26_005_31_01_02,R
2017,190,2,5,2017_06_26_005_31_01_02,R
2017,192,2,5,2017_06_26_005_31_01_02,R
2017,194,2,5,2017_06_26_005_31_01_02,R
2017,194,2,5,2017_06_26_005_31_01_02,R
2017,195,2,5,2017_06_26_005_31_01_02,R
2017,202,2,5,2017_06_26_005_31_01_02,R
2017,205,2,5,2017_06_26_005_31_01_02,R
2017,205,2,5,2017_06_26_005_31_01_02,R
2017,211,2,5,2017_06_26_005_31_01_02,R
2017,187,3,5,2017_06_26_005_31_01_03,R
2017,188,3,5,2017_06_26_005_31_01_03,R
2017,194,3,5,2017_06_26_005_31_01_03,R
2017,199,3,5,2017_06_26_005_31_01_03,R
2017,199,3,5,2017_06_26_005_31_01_03,R
2017,203,3,5,2017_06_26_005_31_01_03,R
2017,193,4,5,2017_06_26_005_31_01_04,R
2017,203,4,5,2017_06_26_005_31_01_04,R
2017,219,4,5,2017_06_26_005_31_01_04,R
2017,183,5,5,2017_06_26_005_31_01_05,R
2017,188,5,5,2017_06_26_005_31_01_05,R
2017,189,5,5,2017_06_26_005_31_01_05,R
2017,191,5,5,2017_06_26_005_31_01_05,R
2017,197,5,5,2017_06_26_005_31_01_05,R
2017,206,6,5,2017_06_26_005_31_01_06,D
2017,209,6,5,2017_06_26_005_31_01_06,D
2017,218,6,5,2017_06_26_005_31_01_06,D
2017,180,7,5,2017_06_26_005_31_01_07,R
2017,181,7,5,2017_06_26_005_31_01_07,R
2017,186,7,5,2017_06_26_005_31_01_07,R
2017,188,7,5,2017_06_26_005_31_01_07,R
2017,189,7,5,2017_06_26_005_31_01_07,R
2017,192,7,5,2017_06_26_005_31_01_07,R
2017,203,7,5,2017_06_26_005_31_01_07,R
2017,206,7,5,2017_06_26_005_31_01_07,R
2017,180,8,5,2017_06_26_005_31_01_08,R
2017,190,8,5,2017_06_26_005_31_01_08,R
2017,201,1,52,2017_05_28_052_13_01_01,R
2017,211,1,52,2017_05_28_052_13_01_01,R
2017,215,1,52,2017_05_28_052_13_01_01,R
2017,201,2,52,2017_05_28_052_13_01_02,R
2017,204,2,52,2017_05_28_052_13_01_02,R
2017,215,2,52,2017_05_28_052_13_01_02,R
2017,208,2,52,2017_05_28_052_13_01_02,R
2017,208,2,52,2017_05_28_052_13_01_02,R
2017,215,2,52,2017_05_28_052_13_01_02,R
2017,198,3,52,2017_05_28_052_13_01_03,R
2017,201,3,52,2017_05_28_052_13_01_03,R
2017,211,3,52,2017_05_28_052_13_01_03,R
2017,215,3,52,2017_05_28_052_13_01_03,R
2017,215,3,52,2017_05_28_052_13_01_03,R
2017,218,3,52,2017_05_28_052_13_01_03,R
2017,202,4,52,2017_05_28_052_13_01_04,R
2017,205,4,52,2017_05_28_052_13_01_04,R
2017,205,4,52,2017_05_28_052_13_01_04,R
2017,206,5,52,2017_05_28_052_13_01_05,R
2017,207,5,52,2017_05_28_052_13_01_05,R
2017,207,5,52,2017_05_28_052_13_01_05,R
2017,212,5,52,2017_05_28_052_13_01_05,R
2017,214,5,52,2017_05_28_052_13_01_05,R
2017,218,5,52,2017_05_28_052_13_01_05,R
2017,191,6,52,2017_05_28_052_13_01_06,R
2017,200,6,52,2017_05_28_052_13_01_06,R
2017,211,6,52,2017_05_28_052_13_01_06,R
2017,198,7,52,2017_05_28_052_13_01_07,R
2017,200,7,52,2017_05_28_052_13_01_07,R
2017,200,7,52,2017_05_28_052_13_01_07,R
2017,203,7,52,2017_05_28_052_13_01_07,R
2017,203,7,52,2017_05_28_052_13_01_07,R
2017,203,7,52,2017_05_28_052_13_01_07,R
2017,204,8,52,2017_05_28_052_13_01_08,R
2017,211,8,52,2017_05_28_052_13_01_08,R
2017,213,8,52,2017_05_28_052_13_01_08,R
2017,198,9,52,2017_05_28_052_13_01_09,R
2017,211,9,52,2017_05_28_052_13_01_09,R
2017,216,9,52,2017_05_28_052_13_01_09,R
2017,198,10,52,2017_05_28_052_13_01_10,R
2017,204,10,52,2017_05_28_052_13_01_10,R
2017,206,10,52,2017_05_28_052_13_01_10,R
2017,206,10,52,2017_05_28_052_13_01_10,R
2017,209,10,52,2017_05_28_052_13_01_10,R
2017,215,10,52,2017_05_28_052_13_01_10,R
2017,215,10,52,2017_05_28_052_13_01_10,R
2017,218,10,52,2017_05_28_052_13_01_10,R
2017,220,10,52,2017_05_28_052_13_01_10,R
2017,196,11,52,2017_05_28_052_13_01_11,R
2017,203,11,52,2017_05_28_052_13_01_11,R
2017,210,11,52,2017_05_28_052_13_01_11,R
2017,210,11,52,2017_05_28_052_13_01_11,R
2017,219,11,52,2017_05_28_052_13_01_11,R
2017,229,11,52,2017_05_28_052_13_01_11,R
2017,199,12,52,2017_05_28_052_13_01_12,R
2017,205,12,52,2017_05_28_052_13_01_12,R
2017,205,12,52,2017_05_28_052_13_01_12,R
2017,211,12,52,2017_05_28_052_13_01_12,R
2017,215,12,52,2017_05_28_052_13_01_12,R
2017,225,12,52,2017_05_28_052_13_01_12,R
2017,190,13,52,2017_05_28_052_13_01_13,R
2017,190,13,52,2017_05_28_052_13_01_13,R
2017,196,13,52,2017_05_28_052_13_01_13,R
2017,198,13,52,2017_05_28_052_13_01_13,R
2017,200,13,52,2017_05_28_052_13_01_13,R
2017,207,13,52,2017_05_28_052_13_01_13,R
2017,213,13,52,2017_05_28_052_13_01_13,R
2017,214,13,52,2017_05_28_052_13_01_13,R
2017,231,13,52,2017_05_28_052_13_01_13,R
2017,202,14,52,2017_05_28_052_13_01_14,R
2017,206,14,52,2017_05_28_052_13_01_14,R
2017,216,14,52,2017_05_28_052_13_01_14,R
2017,206,15,52,2017_05_28_052_13_01_15,R
2017,218,15,52,2017_05_28_052_13_01_15,R
2017,218,15,52,2017_05_28_052_13_01_15,R
2017,202,16,52,2017_05_28_052_13_01_16,R
